Credential Type,Jobs,Pct Jobs,Count / % Jobs,Representative Codes,Example Evidence
Domain experience,2329,69.1,"2,329 / 69.1%","SaaS, industry trend awareness, industry knowledge, industry best practices, financial services knowledge",“apply knowledge of available managed services (PaaS/SaaS/IaaS)”
Years of experience,2239,66.5,"2,239 / 66.5%","software development experience, professional experience, software engineering experience, work experience, practical experience",“other engineering discipline.6+ years of software development”
Degree requirement,1610,47.8,"1,610 / 47.8%","bachelor's degree, master's degree, computer science degree, bachelor's degree in computer science, advanced degree",“PowerPoint   Preferred Qualifications   Bachelor's degree in civil”
Certifications,1276,37.9,"1,276 / 37.9%","certifications, certification, software engineering certification, AWS certification, professional certification",“Visibility Architect certificationsWorking knowledge of Apex”
Portfolio / project experience,376,11.2,376 / 11.2%,"open source contribution, internship experience, project experience, portfolio development, open source frameworks",“as open source artifact(s)Consistent track record of delivering high quality solutions to large”
